ID,Food Name,Kcal,Protein,Carbohydrate,Fiber,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat
328841,"Cheese, cottage, lowfat, 2% milkfat",84.0,11.0,4.31,0.0,2.3,1.26,0.469,0.072,0.069
329370,"Cheese, mozzarella, low moisture, part-skim",298.0,23.7,4.44,0.0,20.4,11.7,4.65,0.744,0.705
329490,"Egg, whole, dried",575.0,48.1,1.87,0.0,39.8,0.0,0.0,0.0,0.0
329596,"Egg, yolk, raw, frozen, pasteurized",296.0,15.6,0.59,0.0,25.1,0.0,0.0,0.0,0.0
329716,"Egg, yolk, dried",654.0,34.2,1.07,0.0,55.5,0.0,0.0,0.0,0.0
330137,"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.0,0.37,0.108,0.043,0.011,0.005
330415,"Yogurt, Greek, strawberry, nonfat",83.0,8.06,12.2,0.6,0.15,0.103,0.029,0.021,0.002
330458,"Oil, coconut",833.0,0.0,0.84,0.0,99.1,82.5,6.31,1.7,0.028
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,23.9,0.0,0.0,5.95,1.6,2.35,1.24,0.03
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166.0,32.1,0.0,0.0,3.24,1.01,1.26,0.766,0.013
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",45.0,1.41,8.05,1.8,1.48,0.17,0.376,0.504,0.005
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106.0,16.7,0.27,0.0,3.73,1.12,1.47,0.544,0.01
332791,"Olives, green, Manzanilla, stuffed with pimiento",130.0,1.15,4.96,4.0,12.9,2.3,8.86,0.661,0.0
333008,"Cookies, oatmeal, soft, with raisins",430.0,5.79,69.6,3.3,14.3,4.78,4.0,4.89,0.04
333281,"Tomatoes, canned, red, ripe, diced",18.0,0.84,3.32,0.0,0.5,0.0,0.0,0.0,0.0
333374,"Fish, haddock, raw",74.0,16.3,0.0,0.0,0.45,0.093,0.057,0.163,0.004
